train_cohort,test_cohort,evaluation_type,patients,prevalence,roc_auc,pr_auc,accuracy,sensitivity,specificity,brier_score,model
Cleveland,Cleveland,Within-cohort,76,0.4605263157894737,0.9247386759581881,0.9047736142257723,0.8157894736842105,0.7428571428571429,0.8780487804878049,0.11530943448330064,Logistic Regression
Cleveland,Hungary,Cross-cohort,294,0.36054421768707484,0.8735447611401045,0.8322312370979668,0.8367346938775511,0.7641509433962265,0.8776595744680851,0.13167313253328292,Logistic Regression
Hungary,Hungary,Within-cohort,74,0.36486486486486486,0.9243498817966903,0.8665778061239584,0.8513513513513513,0.7777777777777778,0.8936170212765957,0.10715001940533915,Logistic Regression
Hungary,Cleveland,Cross-cohort,303,0.45874587458745875,0.8427355676434461,0.8359342774330749,0.7557755775577558,0.7122302158273381,0.7926829268292683,0.1630276276130222,Logistic Regression
Cleveland,Cleveland,Within-cohort,76,0.4605263157894737,0.9128919860627178,0.8921457049420863,0.8552631578947368,0.8285714285714286,0.8780487804878049,0.12778863327645826,Random Forest
Cleveland,Hungary,Cross-cohort,294,0.36054421768707484,0.890405459654757,0.8376285208929817,0.8299319727891157,0.7547169811320755,0.8723404255319149,0.12932563109856773,Random Forest
Hungary,Hungary,Within-cohort,74,0.36486486486486486,0.933806146572104,0.8923952661896739,0.8513513513513513,0.7777777777777778,0.8936170212765957,0.10304277692946336,Random Forest
Hungary,Cleveland,Cross-cohort,303,0.45874587458745875,0.8664678013686611,0.8699418614380791,0.7854785478547854,0.6402877697841727,0.9085365853658537,0.15496309531259617,Random Forest
