split_seed,model,train_cohort,test_cohort,within_roc_auc,external_roc_auc,roc_auc_change,within_pr_auc,external_pr_auc,pr_auc_change,within_brier_score,external_brier_score,brier_score_change
0,Logistic Regression,Cleveland,Hungary,0.940766550522648,0.8703331995182657,-0.0704333510043823,0.9212340639299106,0.8185227583551662,-0.1027113055747444,0.1107439120001144,0.13731164324072484,0.026567731240610445
0,Random Forest,Cleveland,Hungary,0.9310104529616725,0.8826776395022079,-0.04833281345946461,0.9018158782907548,0.8284849843154857,-0.07333089397526915,0.13356025396162882,0.1331777077523062,-0.0003825462093226262
0,Logistic Regression,Hungary,Cleveland,0.8163908589440504,0.8473416388840147,0.030950779939964312,0.7631571359969442,0.830218107234777,0.06706097123783272,0.1671463008161661,0.16149484897810665,-0.005651451838059457
0,Random Forest,Hungary,Cleveland,0.8014184397163121,0.8493595367608352,0.047941097044523096,0.7305473427321203,0.8393373336850408,0.10878999095292052,0.17416892853827615,0.159905620196428,-0.014263308341848135
1,Logistic Regression,Cleveland,Hungary,0.8550522648083623,0.8812725812926535,0.02622031648429124,0.842551501015111,0.8345315800393808,-0.008019920975730233,0.15574337217201986,0.13480695410359023,-0.020936418068429635
1,Random Forest,Cleveland,Hungary,0.8494773519163763,0.8902549177037334,0.04077756578735714,0.8482874916855581,0.8226024930687507,-0.025684998616807397,0.1582934536854166,0.13093305232293598,-0.027360401362480635
1,Logistic Regression,Hungary,Cleveland,0.8408195429472025,0.8496227408317247,0.008803197884522218,0.789883910949025,0.8434911852003728,0.053607274251347814,0.15584665182651927,0.16218056201528924,0.00633391018876997
1,Random Forest,Hungary,Cleveland,0.8699763593380614,0.8480873837515353,-0.021888975586526138,0.8028067471960152,0.8442988565447078,0.04149210934869263,0.14580490571155116,0.1598942994753921,0.01408939376384094
2,Logistic Regression,Cleveland,Hungary,0.8871080139372822,0.879365716579687,-0.00774229735759524,0.8704351462491433,0.8294725271876198,-0.04096261906152354,0.13550736760029414,0.12771424265447426,-0.007793124945819879
2,Random Forest,Cleveland,Hungary,0.8696864111498257,0.8957246085909273,0.026038197441101585,0.8652400692203892,0.8328904894039526,-0.0323495798164366,0.14711188006040787,0.12601711238386978,-0.02109476767653809
